,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt
0,2024-04-03 20:02:50,2090865807.6119883,52,111,164,223,550,559,157,161,0,49,39,39,2024-04-03 20:02:50
1,2024-04-03 20:03:00,2090865817.6119668,53,110,166,223,552,559,158,161,0,48,38,40,2024-04-03 20:03:00
2,2024-04-03 20:03:10,2090865827.6122613,54,112,165,224,555,560,158,162,0,49,38,40,2024-04-03 20:03:10
3,2024-04-03 20:03:20,2090865837.6122732,53,111,164,224,552,559,158,162,0,48,38,39,2024-04-03 20:03:20
4,2024-04-03 20:03:30,2090865847.6120172,53,111,164,222,550,559,158,160,0,49,39,39,2024-04-03 20:03:30
5,2024-04-03 20:03:40,2090865857.6119947,53,111,164,222,550,560,157,161,0,49,39,39,2024-04-03 20:03:40
6,2024-04-03 20:03:50,2090865867.6123443,53,112,164,223,552,559,158,160,0,49,39,39,2024-04-03 20:03:50
7,2024-04-03 20:04:00,2090865877.6123123,54,111,163,223,551,559,158,161,0,49,39,39,2024-04-03 20:04:00
8,2024-04-03 20:04:10,2090865887.6119761,52,112,163,223,550,559,157,160,0,49,39,40,2024-04-03 20:04:10
9,2024-04-03 20:04:20,2090865897.615613,54,112,166,223,555,559,158,162,0,49,39,39,2024-04-03 20:04:20
10,2024-04-03 20:04:30,2090865907.6122918,54,113,165,224,556,560,157,161,0,49,39,39,2024-04-03 20:04:30
11,2024-04-03 20:04:40,2090865917.6120713,54,111,165,222,552,561,157,160,0,49,38,39,2024-04-03 20:04:40
12,2024-04-03 20:04:50,2090865927.6120555,55,110,164,224,553,561,157,162,0,48,40,41,2024-04-03 20:04:50
13,2024-04-03 20:05:00,2090865937.612014,54,113,166,223,556,559,157,161,0,49,39,39,2024-04-03 20:05:00
14,2024-04-03 20:05:10,2090865947.6123378,53,113,165,222,553,559,158,162,0,48,39,39,2024-04-03 20:05:10
15,2024-04-03 20:05:20,2090865957.6120894,55,112,165,223,555,560,158,161,0,49,39,39,2024-04-03 20:05:20
16,2024-04-03 20:05:30,2090865967.6121547,54,113,166,223,556,559,158,161,0,50,40,41,2024-04-03 20:05:30
17,2024-04-03 20:05:40,2090865977.612365,54,112,164,224,554,560,157,162,0,49,39,39,2024-04-03 20:05:40
18,2024-04-03 20:05:50,2090865987.6120422,54,112,164,224,554,559,158,161,0,49,39,39,2024-04-03 20:05:50
19,2024-04-03 20:06:00,2090865997.612368,53,112,163,224,552,558,157,161,0,50,39,39,2024-04-03 20:06:00
20,2024-04-03 20:06:10,2090866007.6120996,54,111,165,224,554,559,157,161,0,49,39,40,2024-04-03 20:06:10
21,2024-04-03 20:06:20,2090866017.6120563,53,112,165,223,553,560,157,162,0,49,40,39,2024-04-03 20:06:20
22,2024-04-03 20:06:30,2090866027.6124058,53,111,165,224,553,559,158,160,0,49,40,40,2024-04-03 20:06:30
23,2024-04-03 20:06:40,2090866037.6121154,53,111,166,223,553,561,158,161,0,49,39,40,2024-04-03 20:06:40
24,2024-04-03 20:06:50,2090866047.6120796,52,112,165,224,553,559,157,161,0,48,40,38,2024-04-03 20:06:50
25,2024-04-03 20:07:00,2090866057.612658,53,110,165,223,551,560,157,161,0,49,39,40,2024-04-03 20:07:00
