,dt,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,ESP_0_7_DIFFS
0,2024-04-03 20:02:40,2090865807.6119883,52.0,111.0,164.0,223.0,550.0,559.0,157.0,161.0,0.0,49.0,39.0,39.0,
1,2024-04-03 20:03:00,2090865822.612114,53.5,111.0,165.5,223.5,553.5,559.5,158.0,161.5,0.0,48.5,38.0,40.0,3.5
2,2024-04-03 20:03:20,2090865842.6121452,53.0,111.0,164.0,223.0,551.0,559.0,158.0,161.0,0.0,48.5,38.5,39.0,-2.5
3,2024-04-03 20:03:40,2090865862.6121695,53.0,111.5,164.0,222.5,551.0,559.5,157.5,160.5,0.0,49.0,39.0,39.0,0.0
4,2024-04-03 20:04:00,2090865882.6121442,53.0,111.5,163.0,223.0,550.5,559.0,157.5,160.5,0.0,49.0,39.0,39.5,-0.5
5,2024-04-03 20:04:20,2090865902.6139524,54.0,112.5,165.5,223.5,555.5,559.5,157.5,161.5,0.0,49.0,39.0,39.0,5.0
6,2024-04-03 20:04:40,2090865922.6120634,54.5,110.5,164.5,223.0,552.5,561.0,157.0,161.0,0.0,48.5,39.0,40.0,-3.0
7,2024-04-03 20:05:00,2090865942.612176,53.5,113.0,165.5,222.5,554.5,559.0,157.5,161.5,0.0,48.5,39.0,39.0,2.0
8,2024-04-03 20:05:20,2090865962.612122,54.5,112.5,165.5,223.0,555.5,559.5,158.0,161.0,0.0,49.5,39.5,40.0,1.0
9,2024-04-03 20:05:40,2090865982.6122036,54.0,112.0,164.0,224.0,554.0,559.5,157.5,161.5,0.0,49.0,39.0,39.0,-1.5
10,2024-04-03 20:06:00,2090866002.6122339,53.5,111.5,164.0,224.0,553.0,558.5,157.0,161.0,0.0,49.5,39.0,39.5,-1.0
11,2024-04-03 20:06:20,2090866022.612231,53.0,111.5,165.0,223.5,553.0,559.5,157.5,161.0,0.0,49.0,40.0,39.5,0.0
12,2024-04-03 20:06:40,2090866042.6120975,52.5,111.5,165.5,223.5,553.0,560.0,157.5,161.0,0.0,48.5,39.5,39.0,0.0
13,2024-04-03 20:07:00,2090866062.6124117,53.5,111.0,164.0,223.0,551.5,560.0,157.0,161.0,0.0,49.5,38.5,39.5,-1.5
