,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt,ESP_0_7_DIFFS
0,2024-04-03 21:04:40,2090869517.6146,54,111,165,223,553,558,156,161,3,50,40,39,2024-04-03 21:04:40,
1,2024-04-03 21:04:50,2090869527.6146252,53,111,166,222,552,559,157,161,2,49,39,40,2024-04-03 21:04:50,-1.0
2,2024-04-03 21:05:00,2090869537.6146142,53,112,165,222,552,558,157,161,0,49,39,39,2024-04-03 21:05:00,0.0
3,2024-04-03 21:05:10,2090869547.6149294,53,110,164,222,549,560,158,161,0,50,38,40,2024-04-03 21:05:10,-3.0
4,2024-04-03 21:05:20,2090869557.6145818,53,110,165,223,551,559,157,161,1,50,39,40,2024-04-03 21:05:20,2.0
5,2024-04-03 21:05:30,2090869567.614916,53,111,165,222,551,559,157,162,2,49,40,39,2024-04-03 21:05:30,0.0
6,2024-04-03 21:05:40,2090869577.6146848,53,111,164,222,550,559,157,160,0,49,38,39,2024-04-03 21:05:40,-1.0
7,2024-04-03 21:05:50,2090869587.6146817,53,111,165,222,551,559,157,161,0,49,39,39,2024-04-03 21:05:50,1.0
8,2024-04-03 21:06:00,2090869597.6146746,52,111,165,222,550,560,157,161,0,49,40,40,2024-04-03 21:06:00,-1.0
9,2024-04-03 21:06:10,2090869607.6146598,54,112,164,223,553,558,156,161,0,48,38,40,2024-04-03 21:06:10,3.0
10,2024-04-03 21:06:20,2090869617.6146908,53,110,166,223,552,558,157,163,2,50,39,39,2024-04-03 21:06:20,-1.0
11,2024-04-03 21:06:30,2090869627.6147285,53,110,165,222,550,558,156,161,0,49,40,39,2024-04-03 21:06:30,-2.0
12,2024-04-03 21:06:40,2090869637.6147099,53,111,165,223,552,559,157,160,1,49,39,39,2024-04-03 21:06:40,2.0
13,2024-04-03 21:06:50,2090869647.6147132,54,111,164,221,550,558,157,161,2,49,39,39,2024-04-03 21:06:50,-2.0
14,2024-04-03 21:07:00,2090869657.6147118,53,111,164,223,551,558,157,160,1,49,39,40,2024-04-03 21:07:00,1.0
15,2024-04-03 21:07:10,2090869667.6147182,53,111,165,223,552,559,157,161,2,48,38,40,2024-04-03 21:07:10,1.0
16,2024-04-03 21:07:20,2090869677.6233132,52,111,165,222,550,559,158,160,2,49,39,40,2024-04-03 21:07:20,-2.0
17,2024-04-03 21:07:30,2090869687.6147258,53,110,165,222,550,559,156,161,1,48,40,39,2024-04-03 21:07:30,0.0
18,2024-04-03 21:07:40,2090869697.6147463,54,110,164,222,550,558,157,161,2,49,38,40,2024-04-03 21:07:40,0.0
19,2024-04-03 21:07:50,2090869707.61503,52,111,164,221,548,559,157,160,2,49,39,39,2024-04-03 21:07:50,-2.0
20,2024-04-03 21:08:00,2090869717.6147091,52,111,166,222,551,559,157,160,2,49,41,40,2024-04-03 21:08:00,3.0
21,2024-04-03 21:08:10,2090869727.6150272,53,111,165,220,549,558,157,161,2,49,39,40,2024-04-03 21:08:10,-2.0
22,2024-04-03 21:08:20,2090869737.6147664,55,111,165,222,553,559,157,160,0,48,41,40,2024-04-03 21:08:20,4.0
23,2024-04-03 21:08:30,2090869747.6147878,53,111,165,222,551,558,158,161,1,49,39,40,2024-04-03 21:08:30,-2.0
24,2024-04-03 21:08:40,2090869757.6150842,53,110,164,223,550,558,156,160,1,49,39,39,2024-04-03 21:08:40,-1.0
25,2024-04-03 21:08:50,2090869767.6148577,53,111,167,222,553,558,156,161,1,49,39,40,2024-04-03 21:08:50,3.0
26,2024-04-03 21:09:00,2090869777.614799,53,110,166,222,551,558,156,161,0,48,39,39,2024-04-03 21:09:00,-2.0
27,2024-04-03 21:09:10,2090869787.6147728,52,110,165,222,549,558,157,161,0,49,39,40,2024-04-03 21:09:10,-2.0
28,2024-04-03 21:09:20,2090869797.6150947,55,110,166,221,552,558,157,162,3,49,39,39,2024-04-03 21:09:20,3.0
29,2024-04-03 21:09:30,2090869807.6148233,54,110,165,222,551,558,157,161,2,49,39,40,2024-04-03 21:09:30,-1.0
30,2024-04-03 21:09:40,2090869817.6148133,54,113,165,222,554,558,157,161,2,48,38,40,2024-04-03 21:09:40,3.0
31,2024-04-03 21:09:50,2090869827.6148453,53,110,164,221,548,559,157,161,2,48,38,41,2024-04-03 21:09:50,-6.0
32,2024-04-03 21:10:00,2090869837.6151369,54,111,166,221,552,559,157,161,0,49,40,40,2024-04-03 21:10:00,4.0
33,2024-04-03 21:10:10,2090869847.6148627,54,110,164,222,550,558,157,161,0,50,38,40,2024-04-03 21:10:10,-2.0
