,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt,ESP_0_7_DIFFS
0,2024-04-04 00:56:10,2090883407.6269925,55,112,162,223,552,556,158,161,2,50,40,40,2024-04-04 00:56:10,
1,2024-04-04 00:56:20,2090883417.626951,54,112,167,224,557,556,156,161,3,49,39,39,2024-04-04 00:56:20,5.0
2,2024-04-04 00:56:30,2090883427.6276257,54,112,163,223,552,558,157,161,2,49,39,41,2024-04-04 00:56:30,-5.0
3,2024-04-04 00:56:40,2090883437.6271093,57,113,165,222,557,556,157,160,2,48,40,39,2024-04-04 00:56:40,5.0
4,2024-04-04 00:56:50,2090883447.62723,55,110,165,223,553,555,157,161,2,49,39,39,2024-04-04 00:56:50,-4.0
5,2024-04-04 00:57:00,2090883457.6270292,56,112,164,223,555,557,157,161,2,48,40,40,2024-04-04 00:57:00,2.0
6,2024-04-04 00:57:10,2090883467.627042,55,113,165,223,556,556,157,161,2,50,40,40,2024-04-04 00:57:10,1.0
7,2024-04-04 00:57:20,2090883477.627282,57,113,165,224,559,556,157,160,2,49,40,39,2024-04-04 00:57:20,3.0
8,2024-04-04 00:57:30,2090883487.6270487,54,112,165,223,554,556,157,162,1,49,40,38,2024-04-04 00:57:30,-5.0
9,2024-04-04 00:57:40,2090883497.6272821,54,111,165,224,554,555,156,161,2,49,39,40,2024-04-04 00:57:40,0.0
10,2024-04-04 00:57:50,2090883507.62707,55,113,165,224,557,556,157,162,2,50,39,41,2024-04-04 00:57:50,3.0
11,2024-04-04 00:58:00,2090883517.6269903,55,113,164,223,555,557,156,161,3,49,39,40,2024-04-04 00:58:00,-2.0
12,2024-04-04 00:58:10,2090883527.627315,55,113,165,223,556,556,156,160,2,49,39,39,2024-04-04 00:58:10,1.0
